SortNo,Music_Title,Nickname,Artist,BPM,Side,Pack,Version,FTR_Level,FTR_Const,BYD_Level,BYD_Const
193,Alice's Suitcase,ありすすーつけーす,Endorfin.,190,Hikari,Ephemeral Page,3.03,9,9.1,,
194,Jump,じゃんぷ,Rasmus Faber,133,Hikari,Ephemeral Page,3.03,9,9,,
195,Frelis,ふぇりす,M2U,155,Hikari,Ephemeral Page,3.03,10,10.4,,
196,Purple Verse,ぱーぷるばーす,Hommarju,170,Tairitsu,Extend Archive,3.03,9,9.6,,
197,Beside You,びさいどゆー,江口孝宏,181,Hikari,Ephemeral Page,3.03,8,8.7,,
198,Heart Jackin',はーとじゃっきん,Yu_Asahina,160,Hikari,Ephemeral Page,3.03,9.7,9.7,,
199,アリス・リデルに捧ぐ,ありすりでるにささぐ,モリモリあつし,222,Tairitsu,Ephemeral Page,3.03,10,10.3,,
200,Lazy Addiction,れいじーあでぃくしょん,sky_delta,185,Hikari,O.N.G.E.K.I.,3.04,9,9.6,,
201,Dazzle hop,だずるほっぷ,Sampling Masters MEGA,220,Tairitsu,O.N.G.E.K.I.,3.04,9.7,9.7,,
202,Viyella's Tears,ヴぃえらずてぃあーず,Laur,218,Tairitsu,O.N.G.E.K.I.,3.04,10,10.3,,
203,ω4,おめがふぉー,穴山大輔 VS 光吉猛修 VS Kai,192,Hikari,O.N.G.E.K.I.,3.04,10.7,10.8,,
204,四月の雨,しがつのあめ,cubesato,79,Hikari,maimai,3.04,8,8.3,,
205,7thSense,せぶんすせんす,削除,150,Tairitsu,maimai,3.04,9.7,9.9,,
206,Oshama Scramble!,おしゃますくらんぶる,t+pazolite,190,Hikari,maimai,3.04,10,10,,
207,AMAZING MIGHTYYYY!!!!,あめいじんぐまいとりー,WAiKURO,185,Tairitsu,maimai,3.04,10.7,10.7,,
208,Moonheart,むーんはーと,翡乃イスカ,180,Hikari,Ambivalent Vision,3.04,,,9.7,9.7
209,Climax,くらいまっくす,USAO,190,Tairitsu,CHUNITHM,3.05,10,10.4,,
210,Last Celebration,らすとせれぶれーしょん,Laur vs CK,238,Tairitsu,CHUNITHM,3.05,10,10.5,,
211,業 -善なる神とこの世の悪について-,ごう,光吉猛修 VS 穴山大輔,190,Hikari,CHUNITHM,3.05,10.7,10.9,,
212,AttraqtiA,あたらくてぃあ,かめりあ,202,Hikari,Memory Archive,3.05,10,10.6,,
213,Glow,ぐろう,SPACELECTRO,165,Tairitsu,Extend Archive,3.05,9,9.3,,
214,enchanted love,えんちゃんてっどらぶ,linear ring,95,Hikari,Extend Archive,3.05,8,8.4,,
215,竹,たけ,立秋 feat. ちょこ,315,Hikari,Extend Archive,3.05,10,10,,
216,GIMME DA BLOOD,ぎみーだぶらっど,C-Show,110,Tairitsu,Memory Archive,3.05,10,10.4,,
217,ベースラインやってる？w,べーすらいんやってる,かめりあ feat. ななひら,128,Hikari,Memory Archive,3.05,9,9.3,,
218,Life is PIANO,らいふいずぴあの,Junk,133,Hikari,Extend Archive,3.05,9,9.1,,
219,Paper Witch,ぺーぱーうぃっち,Yu-dachi,130,Hikari,Esoteric Order,3.06,8,8.7,,
220,Crystal Gravity,くりすたるぐらびてぃ,Tanchiky vs. siromaru,178,Tairitsu,Esoteric Order,3.06,9,9.4,,
221,Far Away Light,ふぁーあうぇいらいと,technoplanet feat. はるの & 黒沢ダイスケ,216,Hikari,Esoteric Order,3.06,9.7,9.8,,
222,Löschen,れっしぇん,BlackY feat. Risa Yuzuki,181,Tairitsu,Esoteric Order,3.06,10,10.2,,
223,Aegleseeker,あいぐれしーかー,Silentroom vs Frums,234,Hikari,Esoteric Order,3.06,11,11.1,,
224,Coastal Highway,こうすたるはいうぇい,Glitch Droids,110,Hikari,Esoteric Order,3.06,8,8.8,,
225,ΟΔΥΣΣΕΙΑ,おでゅっせいあ,Sober Bear,174,Tairitsu,Esoteric Order,3.06,9,9.5,,
226,Overwhelm,おーばーうぇるむ,xi,200,Hikari,Esoteric Order,3.06,10,10.6,,
227,Vandalism,ヴぁんだりずむ,Ashrount,194,Tairitsu,Extend Archive,3.06,9.7,9.7,,
228,Turbocharger,たーぼちゃーじゃー,A/I,170,Hikari,Extend Archive,3.06,9,9,,
229,THE ULTIMACY,じあるてぃましー,aran vs Massive New Krew,200,Tairitsu,Memory Archive,3.06,9.7,9.8,,
230,烈華RESONANCE,れっかれぞなんす,REDALiCE vs Kobaryo,240,Hikari,Memory Archive,3.06,10.7,10.7,,
231,next to you,ねくすととぅーゆー,"uma feat. 橘花音	",165,Hikari,Binary Enfold,3.06,,,9,9.6
232,Lost Civilization,ろすとしびらいぜーしょん,Laur vs CK,210,Tairitsu,Arcaea,3.06,,,9.7,9.8
233,La'qryma of the Wasteland,らくりまおぶざうえすとらんど,DJ Noriken,168,Tairitsu,Memory Archive,3.06,,,9.7,9.9
234,Bookmaker (2D Version),ぶっくまーかー,Kobaryo,175,Tairitsu,Arcaea,3.06,,,10,10
235,Small Cloud Sugar Candy,すもーるくらうどしゅがーきゃんでぃー,テヅカ × Aoi feat.桃雛なの,220,Hikari,Esoteric Order,3.07,9,9.1,,
236,AlterAle,あるたーえーる,Arik Kau Delay (アラ&かゆき&でり),245,Hikari,Esoteric Order,3.07,9.7,9.7,,
237,光速神授説 - Divine Light of Myriad -,こうそくしんじゅせつ,yoho,172,Hikari,Esoteric Order,3.07,10.7,10.8,,
238,Seclusion,せくるーしょん,Laur feat. Sennzai,175,Tairitsu,Esoteric Order,3.07,10,10.6,,
239,狂言綺語,きょうげんきご,影虎。& ikaruga_nex,155,Tairitsu,Extend Archive,3.07,9,9.3,,
240,HIVEMIND,はいヴまいんど,かたぎり,252,Tairitsu,Extend Archive,3.07,10,10,,
241,Quon,くおん,DJ Noriken,170,Tairitsu,WACCA,3.08,8,8,,
242,with U,うぃずゆー,t+pazolite & Massive New Krew feat. リリィ(CV:青木志貴),155,Hikari,WACCA,3.08,9,9.4,,
243,Let you DIVE! (nitro rmx),れっちゅーだいぶ,nitro (lowiro),185,Hikari,WACCA,3.08,9,9.4,,
244,Mazy Metroplex,めいじーめとろぷれっくす,aran,155,Hikari,WACCA,3.08,9.7,9.7,,
